event_key,event_date,publish_date,title,content,ent_info
2019 Peru earthquake,5/26/2019,5/26/2019,"Peru earthquake: Huge 8.0 magnitude earthquake felt as far as Brazil, Colombia and Ecuador","The quake - the biggest to strike the country in 12 years - hit at 8.41 am UK time in the Pacaya Samiria National Reserve Park , deep in the Amazonian jungle , but it was so strong it was felt through most of the country , and even sent vibrations as far as Ecuador , Colombia and Brazil . 
Some reported feeling heavy shaking as far as 600 miles away from the epicentre . 
The quake struck around 110 miles east of the town on of Moyobamba , the capital of the San Martín region in northern Peru , according to the US Geological Survey ( USGS ) . 
It is also understood to have reached a depth of around 65 miles . 
At least one person in the Cajamarca region was killed after a boulder struck his home , Peru National Emergency Center ( COEN ) has said . 
The quake has caused severe damage across Peru , which has seen the collapse of a road and buildings caving in . 
In Yurimaguas , which is located in the northeastern Peruvian Amazona number of old houses collapsed , and the electricity was cut , according to the National Emergency Operations Center . ","12|10|0|TIME|None
8.41 am|15 16|0|NUM|None
UK|17|0|LOC|None
Ecuador|54|0|LOC|None
Colombia|56|0|LOC|None
Brazil|58|0|LOC|None
as far as 600 miles|5 6 7 8 9|1|NUM|None
around 110 miles|3 4 5|2|NUM|None
Moyobamba|12|2|LOC|None
San|18|2|LOC|None
Peru|23;7|2;5|LOC|loc
around 65 miles|10 11 12|3|NUM|None
At least one person|0 1 2 3|4|NUM|death
Cajamarca|6|4|LOC|None
Yurimaguas|1|6|LOC|None
Peruvian|9|6|LOC|None
"
2019 Peru earthquake,5/26/2019,5/26/2019,"Magnitude 8 earthquake rattles Peru, killing at least 1","A powerful magnitude 8.0 earthquake struck a remote part of the Amazon jungle in Peru early Sunday , collapsing buildings and knocking out power to some areas but causing only one reported death . 
The quake struck at 2:41 a.m. and was centered in a vast nature preserve 57 miles east of the small town of Yurimaguas . 
Helping limit damage was the earthquake 's depth , at 70 miles below the surface , according to the U.S. Geological Survey . 
Earthquakes that are close to the surface generally cause more destruction . 
President Martín Vizcarra called for calm before traveling to the zone with members of his cabinet to survey the damage . 
He said first reports indicate a bridge had collapsed and several homes and roads had been affected . 
An aerial view shows a landslide caused by a quake in Yurimaguas , Peru , Sunday , May 26 , 2019 . ","magnitude 8.0|2 3|0|MAG|mag
Amazon|11|0|LOC|None
Peru|14;13|0;6|LOC|loc
early|15|0|TIME|None
one reported death|30 31 32|0|NUM|death
2:41|4|1|TIME|None
57 miles|14 15|1|NUM|None
Yurimaguas|22;11|1;6|LOC|None
70 miles|10 11|2|NUM|None
Sunday|15|6|TIME|None
May 26 ,|17 18 19|6|TIME|None
"
2019 Peru earthquake,5/26/2019,5/26/2019,Magnitude 8 Earthquake Strikes Amazon Jungle in Peru,"By FRANKLIN BRICENO , Associated Press LIMA , Peru ( AP ) — A powerful magnitude 8.0 earthquake struck a remote part of the Amazon jungle in Peru early Sunday , collapsing buildings and knocking out power to some areas but causing only one reported death . 
The quake struck at 2:41 a.m. and was centered in a vast nature preserve 57 miles ( 92 kilometers ) east of the small town of Yurimaguas . 
Helping limit damage was the earthquake 's depth , at 70 miles ( 114 kilometers ) below the surface , according to the U.S. Geological Survey . 
Earthquakes that are close to the surface generally cause more destruction . 
President Martín Vizcarra called for calm before traveling to the zone with members of his cabinet to survey the damage . 
He said first reports indicate a bridge had collapsed and several homes and roads had been affected . "" It 's a quake that was felt throughout the Peruvian jungle , "" said Vizcarra , who was scheduled to host a regional summit Sunday in the capital with the presidents of Bolivia , Colombia and Ecuador . Ricardo Seijas , chief of the National Emergency Operations Center , said one person died when a rock fell on a house in the Huarango district . 
A preliminary survey by authorities found that six people were injured and 27 homes damaged across seven provinces . ","LIMA|6|0|LOC|None
Peru|8;27|0;0|LOC|loc
magnitude 8.0|15 16|0|MAG|mag
Amazon|24|0|LOC|None
early|28|0|TIME|None
one reported death|43 44 45|0|NUM|death
2:41|4|1|TIME|None
57 miles|14 15|1|NUM|None
92 kilometers )|17 18 19|1|NUM|None
Yurimaguas|26|1|LOC|None
70 miles ( 114 kilometers )|10 11 12 13 14 15|2|NUM|None
Sunday|43|5|TIME|None
Bolivia|51|5|LOC|None
Colombia|53|5|LOC|None
Ecuador|55|5|LOC|None
one person|69 70|5|NUM|None
Huarango|81|5|LOC|None
six people|7 8|6|NUM|injure
27 homes|12 13|6|NUM|None
seven provinces|16 17|6|NUM|None
"
2019 Peru earthquake,5/26/2019,5/26/2019,Magnitude-8 earthquake strikes north-central Peru,"The quake , at a moderate depth of 114 kilometers struck at 2.41 am Peru earthquake Image Credit : Social media Lima , Peru : Update : The US Geological Survey said the epicenter was at a depth of 110 kilometers ( 68 miles ) . 
The quake hit at 0741 GMT about 75 kilometers southeast of the town of Lagunas , along the Amazon basin near the border with Brazil . "" Some casualties and damage are possible and the impact should be relatively localized , "" USGS said in a preliminary assessment . 
Quakes of similar depth "" typically cause less damage on the ground surface ( but ) ... may be felt at great distance from their epicenters , "" it later added . 
The tremors were felt in northern and central Peru , including the capital Lima . Seismologists at the Geophysics Institute of Peru said the quake , which lasted just over two minutes , measured 7.5 magnitude , revising an earlier assessment of 7.2 magnitude . 
Peruvian President Martin Vizcarra urged citizens "" to remain calm "" in a message on his official Twitter account . "" We 're evaluating the affected areas , "" he said . 
Initial reports on Peruvian television said some damage to buildings occurred in the city of Yurimaguas , close to the epicenter , but no injuries had been recorded . "" Based on all available data ... there is no tsunami threat because the earthquake is located too deep inside the earth , "" the US - based Pacific Tsunami Warning Center said . 
In February a quake measuring 7.5 with its epicenter in neighboring Ecuador rattled the coast and Amazon region of northern Peru . It left nine people injured and caused damage in Ecuador , but Peru was unscathed . ","114 kilometers|8 9|0|NUM|None
2.41 am|12 13|0|NUM|None
Peru|14;23;8;20;34|0;0;3;6;6|LOC|loc
Lima|21;13|0;3|LOC|None
110 kilometers ( 68 miles|39 40 41 42 43|0|NUM|None
0741|4|1|TIME|None
about 75 kilometers|6 7 8|1|NUM|None
Lagunas|14|1|LOC|None
Amazon|18;16|1;6|LOC|None
Brazil|24|1|LOC|None
just over two|28 29 30|3|TIME|None
7.5 magnitude|34 35|3|MAG|None
7.2 magnitude|42 43|3|MAG|None
Yurimaguas|15|5|LOC|None
US|54|5|LOC|None
February|1|6|TIME|None
7.5|5|6|NUM|None
Ecuador|11;31|6;6|LOC|None
nine people|24 25|6|NUM|None
"
2019 Peru earthquake,5/26/2019,5/27/2019,Two dead following powerful earthquake in Peru,"Two people were killed after a powerful earthquake rocked parts of Peru and neighbouring Ecuador , with more than 30 people injured , authorities said . The 8.0 - earthquake hit a sparsely populated region of Peru 's Amazon basin region but was felt over a wide area . 
Reports were still coming in from remote areas affected by the quake , which also rattled the capital Lima and other cities where frightened residents rushed into the streets . A teenage boy was killed after being struck by falling masonry in Peru 's northern region of La Libertad . 
The other victim , a 48 - year - old man , was reported to have been killed by falling debris while he slept at his house in Cajamarca in northern Peru . The quake was the most powerful to hit the earthquake - prone country in 12 years , Peru 's President Martin Vizcarra said , adding that it blocked roads , damaged a bridge and knocked down houses . "" It is an earthquake affecting the entire Peruvian jungle , "" he said . 
One of the most dramatic moments captured on social media happened in Yurimaguas , the town closest to the epicentre . 
Video from the police station shows the police chief shouting at his subordinates to quickly open the jail cells and get inmates outside . "" The earthquake is strong ! "" he is heard yelling . 
"" Open the cells ! 
Help with the detainees , get one each ! "" ","Two people|0 1|0|NUM|death
Peru|11;36;42;31;50|0;0;1;2;2|LOC|loc
Ecuador|14|0|LOC|None
more than 30 people|17 18 19 20|0|NUM|injure
8.0 - earthquake|27 28 29|0|NUM|mag
Amazon|38|0|LOC|None
Lima|18|1|LOC|None
La|47|1|LOC|None
48 - year -|5 6 7 8|2|TIME|None
Cajamarca|28|2|LOC|None
12|47|2|TIME|None
One|0|3|NUM|None
Yurimaguas|12|3|LOC|None
one|6|6|NUM|None
"
2019 Peru earthquake,5/26/2019,,"Powerful Earthquake Strikes Miles Below Amazon Rainforest in Peru, Limiting Casualties","The corner of a building was destroyed by an earthquake in Yurimaguas , Peru , Sunday , May 26 , 2019 . 
A powerful magnitude 8.0 earthquake struck this remote part of the Amazon jungle in Peru early Sunday , collapsing buildings and knocking out power to some areas . 
Guadalupe Pardo / AP An 8.0 magnitude earthquake rocked northern Peru on Sunday , killing at least one man and causing several injuries , the Associated Press reports . Advertisement The earthquake , which struck in the early hours of the morning , was centered on a remote area of the Amazon jungle , the Pacaya - Samiria National Reserve , a vast forest bordered by the Marañón and Ucayali rivers , according to the U.S. Geological Survey . 
Loss of life was likely minimized by the earthquake ’s location , but also its depth , officials said . 
The epicenter was approximately 70 miles below the Earth ’s surface . 
Nevertheless , the seismic movement was felt as far north as Venezuela , according to reports . 
Emergency officials in Ecuador on Sunday warned of potential landslides resulting from the event . ","Yurimaguas|11|0|LOC|None
Peru|13;14;10|0;1;2|LOC|loc
Sunday|15;12;5|0;2;6|TIME|None
May 26 ,|17 18 19|0|TIME|None
magnitude 8.0|2 3|1|MAG|mag
Amazon|11;51|1;2|LOC|None
early|15|1|TIME|None
8.0 magnitude|5 6|2|MAG|mag
at least one man|15 16 17 18|2|NUM|death
the early hours of the|36 37 38 39 40|2|TIME|None
Marañón|67|2|LOC|None
Ucayali|69|2|LOC|None
approximately 70 miles|3 4 5|4|NUM|None
Earth|8|4|LOC|None
Venezuela|11|5|LOC|None
Ecuador|3|6|LOC|None
"
2019 Peru earthquake,5/26/2019,,Strong earthquake strikes northern Peru,"Rough Cuts Strong earthquake strikes northern 
Peru Posted A magnitude 8.0 earthquake struck northern Peru on Saturday . 
There have been no initial reports of casualties or significant damage . 
Rough cut ( no reporter narration ) . ","Peru|0;8|1;1|LOC|loc
magnitude 8.0|3 4|1|MAG|mag
Saturday|10|1|TIME|None
"
2019 Peru earthquake,5/26/2019,5/29/2019,Loon deploys balloons to Peru 48 hours after 8.0 earthquake,"Loon is focussed on providing connectivity around the world via atmospheric balloons . 
Useful during natural disasters , the Alphabet company again demonstrated the versatility of its approach by quickly providing LTE connectivity after a magnitude 8.0 earthquake in Peru. On May 26th , the large earthquake hit a remote Amazon region of Peru . 
Thanks to existing commercial testing and work with Telefónica on bringing mobile internet access to underserved areas , Loon was able to provide connectivity within 48 hours . On Sunday morning , a magnitude 8.0 earthquake struck the region . 
After requests from the government of Peru and Telefónica , we quickly re-directed a group of balloons to the impacted area . 
Early Tuesday morning , the first balloons arrived and began serving LTE to users below . 
More are on the way . 
Both the Peruvian government and Telefónica asked Loon to help , with the first balloons arriving on Tuesday with service . ","magnitude 8.0|22 23;33 34|1;2|MAG|mag
Peru.|26|1|LOC|None
May|28|1|TIME|None
Amazon|37|1|LOC|None
Peru|40;6|1;3|LOC|loc
48|25|2|TIME|None
Sunday|29|2|TIME|None
Telefónica|8|3|LOC|None
Early Tuesday|0 1|4|TIME|None
Tuesday|17|6|TIME|None
"
2019 Peru earthquake,5/26/2019,5/30/2019,Earthquake hits El Salvador: 6.6 magnitude tremor rocks coastline - TSUNAMI WARNING issued,"The tremor hit the central coastline near La Paz just after 3 am local time ( 7 am BST ) , with the magnitude later revised upwards to 6.8 . 
It sparked fears of a tsunami , and follows a 8.0 magnitude earthquake that ripped through Peru on Saturday . 
El Salvador 's civil protection authority said on Twitter that according to an initial assessment of the country , the earthquake had not had a "" serious or generalized "" impact . 
The sea off La Libertad was normal , it added . 
Tremors were also felt in neighboring Guatemala . Earthquake hits El Salvador : 6.6 magnitude tremor rocks coastline A USGS map shows the quake 's epicentre Tsunami threat assessment indicates that sea level variations of up to one foot ( 30 centimetres ) are possible along the entire Salvadoran coast due to the earthquake However , El Salvador ’s Ministry of Environment and Natural Resources ( MARN ) tweeted : "" Tsunami threat assessment indicates that sea level variations of up to one foot ( 30 centimetres ) are possible along the entire Salvadoran coast due to the earthquake . "" 
Sixteen aftershocks were subsequently registered with magnitudes ranging from 3.4 to 4.9 , MARN added . 
In a second tweet it added : "" Probability of increments of 30 cm is maintained along the Salvadoran coast and increased currents . ","3|11|0|TIME|None
7 am BST|16 17 18|0|TIME|None
6.8|28|0|NUM|None
8.0 magnitude|10 11|1|MAG|mag
Peru|16|1|LOC|loc
Saturday|18|1|TIME|None
El Salvador|0 1|2|LOC|None
Guatemala|6|4|LOC|None
El|10;56|4;4|LOC|None
6.6 magnitude|13 14|4|MAG|None
USGS|19|4|LOC|None
up to one foot ( 30 centimetres )|35 36 37 38 39 40 41 42;80 81 82 83 84 85 86 87|4;4|NUM|None
Sixteen aftershocks|0 1|5|NUM|None
3.4|9|5|NUM|None
4.9|11|5|NUM|None
30 cm|12 13|6|NUM|None
"
2019 Peru earthquake,5/26/2019,5/26/2019,Peru earthquake leaves one dead and several injured,"One person was killed and at least 11 people have been injured in Peru , with a further seven injuries in neighboring Ecuador , after an 8.0 magnitude earthquake struck northern Peru on Sunday morning . Peru 's National Emergency Operations Center reported the death of a 48 - year - old man from the Cajamarca region in northwestern Peru following an earthquake in the country 's Amazon region . 
The earthquake 's epicenter was at an approximate depth of 115 km , according to preliminary readings from the United States Geological Survey , and it was felt as far afield as Lima , Peru ; Caracas , Venezuela ; and Quito , Ecuador . Ricardo Seijas , head of the emergency operations center , said the number of injured had risen to at least 11 people . 
The emergency operations center reported numerous damages to buildings including five schools ; two religious temples ; and four health centers . 
Two additional health centers collapsed , said Seijas . Read More ","One person|0 1|0|NUM|death
at least 11 people|5 6 7 8;63 64 65 66|0;1|NUM|injure
Peru|13;31;36;59;34|0;0;0;0;1|LOC|loc
seven injuries|18 19|0|NUM|injure
Ecuador|22;43|0;1|LOC|None
8.0 magnitude|26 27|0|MAG|mag
Sunday|33|0|TIME|None
morning|34|0|TIME|None
48 - year -|47 48 49 50|0|TIME|None
the Cajamarca|54 55|0|LOC|None
Amazon|67|0|LOC|None
115 km|10 11|1|NUM|None
Lima|32|1|LOC|None
Caracas|36|1|LOC|None
Venezuela|38|1|LOC|None
Quito|41|1|LOC|None
five schools|10 11|2|NUM|None
two religious temples|13 14 15|2|NUM|None
four health centers|18 19 20|2|NUM|None
Two additional health centers|0 1 2 3|3|NUM|None
"
